	date	run	well	timepoint	tempc	class	score	ymin	xmin	ymax	xmax	ID	centroid_x	centroid_y
419	2022-01-05	1	D2	2	26	tube_tip	0.06261378	0.5044985	0.00013097085	0.5302987	0.0032683364	None	0.00169965	0.5173986
421	2022-01-05	1	D2	2	26	tube_tip	0.060700744	0.71015006	0.9962548	0.73122114	1.0	None	0.9981274	0.7206856
423	2022-01-05	1	D2	2	26	tube_tip	0.059017647	0.9923947	0.0	1.0	0.0064424328	None	0.00322122	0.99619735
424	2022-01-05	1	D2	2	26	tube_tip	0.058089275	0.23806094	0.0	0.2657105	0.0030963623	None	0.00154818	0.25188572
425	2022-01-05	1	D2	2	26	tube_tip	0.05755553	0.8787364	0.0	0.90633094	0.003440504	None	0.00172025	0.89253367
426	2022-01-05	1	D2	2	26	tube_tip	0.057553224	0.8394645	0.0	0.86754864	0.0036169665	None	0.00180848	0.85350657
427	2022-01-05	1	D2	2	26	tube_tip	0.057257246	0.015144301	0.0	0.04306234	0.0033795307	None	0.00168977	0.02910332
428	2022-01-05	1	D2	2	26	tube_tip	0.05716386	0.6085344	0.99600995	0.6377221	0.9996766	None	0.99784328	0.62312825
429	2022-01-05	1	D2	2	26	tube_tip	0.057073567	0.8594047	0.9964461	0.8868575	0.9995062	None	0.99797615	0.8731311
430	2022-01-05	1	D2	2	26	tube_tip	0.056907512	0.31524628	0.6152832	0.34376442	0.639888	None	0.6275856	0.32950535
431	2022-01-05	1	D2	2	26	tube_tip	0.054142218	0.8906364	0.9965403	0.91816586	0.9993235	None	0.9979319	0.90440113
432	2022-01-05	1	D2	2	26	tube_tip	0.054047283	0.5223629	0.9961315	0.5521181	0.9997491	None	0.9979403	0.5372405
433	2022-01-05	1	D2	2	26	tube_tip	0.053932697	0.034988873	0.0	0.062224373	0.0033419249	None	0.00167096	0.04860662
435	2022-01-05	1	D2	2	26	tube_tip	0.053133413	0.8008557	0.9966251	0.8283469	0.99929935	None	0.99796222	0.8146013
437	2022-01-05	1	D2	2	26	tube_tip	0.052549157	0.059108727	0.9964241	0.08574753	0.999357	None	0.99789055	0.07242813
438	2022-01-05	1	D2	2	26	tube_tip	0.05235868	0.3078605	0.9962081	0.3369276	0.9995978	None	0.99790295	0.32239405
439	2022-01-05	1	D2	2	26	tube_tip	0.05192874	0.32751748	0.9962348	0.35631087	0.99957585	None	0.99790532	0.34191418
440	2022-01-05	1	D2	2	26	tube_tip	0.05167498	0.5923801	0.9960688	0.622678	0.99973196	None	0.99790038	0.60752905
442	2022-01-05	1	D2	2	26	tube_tip	0.05105285	0.48366085	0.9963195	0.51263404	0.99960333	None	0.99796142	0.49814744
446	2022-01-05	1	D2	2	26	tube_tip	0.05023378	0.99485546	0.0	1.0	0.020983297	None	0.01049165	0.99742773
447	2022-01-05	1	D2	2	26	tube_tip	0.050233655	0.89022505	0.0	0.9183295	0.0034083766	None	0.00170419	0.90427728
449	2022-01-05	1	D2	2	26	tube_tip	0.049654845	0.20680289	0.0	0.2344834	0.0031560003	None	0.001578	0.22064314
452	2022-01-05	1	D2	2	26	tube_tip	0.04923046	0.8357475	0.99676406	0.8638437	0.99916995	None	0.997967	0.8497956
453	2022-01-05	1	D2	2	26	tube_tip	0.049165674	0.05884581	0.0	0.08550268	0.0030135154	None	0.00150676	0.07217424
455	2022-01-05	1	D2	2	26	tube_tip	0.048931632	0.9958885	0.91064566	1.0	0.93714386	None	0.92389476	0.99794425
456	2022-01-05	1	D2	2	26	tube_tip	0.048638813	0.085662276	0.0	0.11336815	0.0031005638	None	0.00155028	0.09951521
458	2022-01-05	1	D2	2	26	tube_tip	0.048274405	0.07389709	0.0	0.101638004	0.0031305035	None	0.00156525	0.08776755
459	2022-01-05	1	D2	2	26	tube_tip	0.047913242	0.5270827	0.0	0.5546738	0.0032304374	None	0.00161522	0.54087825
462	2022-01-05	1	D2	2	26	tube_tip	0.04757251	0.99594027	0.8594022	1.0	0.8861189	None	0.87276055	0.99797014
465	2022-01-05	1	D2	2	26	tube_tip	0.046818577	0.99611866	0.086600326	1.0	0.11227038	None	0.09943535	0.99805933
467	2022-01-05	1	D2	2	26	tube_tip	0.046012264	0.99628556	0.012220468	1.0	0.038446542	None	0.0253335	0.99814278
469	2022-01-05	1	D2	2	26	tube_tip	0.04589837	0.96512485	0.0	0.9916866	0.0034399424	None	0.00171997	0.97840572
